step,reward_mean_norm,reward_mean_raw,cov_rew_mean,col_rew_mean,aux_rew_mean,ep_len_mean,cov_per_step_mean,aux_per_step_mean
2457600,0.0127,0.6856,357.5540,-7.5200,135.7396,684.85,2.6666,0.1905
2469888,0.0123,0.6658,363.7260,-7.3600,143.3607,714.02,2.6088,0.1930
2482176,0.0135,0.7301,357.8500,-7.4400,137.1219,684.15,4.2115,0.1913
2494464,0.0145,0.7849,351.6060,-7.5200,130.0428,649.00,4.2221,0.1914
2506752,0.0135,0.7301,349.6949,-7.5200,125.9178,630.93,5.4464,0.1875
2519040,0.0123,0.6663,350.0020,-7.6800,121.2473,618.57,3.6727,0.1865
2531328,0.0113,0.6099,353.7620,-7.7600,123.1609,635.62,3.6742,0.1847
2543616,0.0122,0.6590,350.6700,-7.6800,121.5800,627.91,3.7154,0.1845
2555904,0.0132,0.7119,356.9760,-7.5200,128.5520,664.34,5.0224,0.1832
2568192,0.0123,0.6660,359.9490,-7.3600,132.9305,685.82,4.9865,0.1829
2580480,0.0124,0.6708,365.0350,-7.3600,136.7150,703.86,3.7773,0.1860
2592768,0.0114,0.6137,364.9350,-7.3600,139.8042,714.23,3.7484,0.1864
2605056,0.0122,0.6606,362.0610,-7.4400,138.3028,709.03,2.1231,0.1882
2617344,0.0119,0.6443,365.7610,-7.4400,136.3454,707.76,2.1547,0.1854
2629632,0.0119,0.6423,364.3520,-7.6800,139.0327,716.72,0.7909,0.1879
2641920,0.0133,0.7178,366.4820,-7.7600,141.4500,728.22,0.8060,0.1875
2654208,0.0122,0.6586,362.2850,-7.6800,138.1633,715.70,2.4229,0.1841
2666496,0.0133,0.7162,355.4480,-7.6800,132.3848,680.58,2.4222,0.1861
2678784,0.0143,0.7702,348.9570,-7.7600,125.3139,639.19,3.3407,0.1852
2691072,0.0149,0.8029,347.3530,-7.6000,118.6545,606.05,4.7345,0.1842
2703360,0.0129,0.6991,351.6180,-7.5200,122.5039,617.79,4.7255,0.1864
2715648,0.0109,0.5876,350.1670,-7.6000,121.4461,613.36,4.7177,0.1874
2727936,0.0128,0.6933,351.5780,-7.6000,120.7379,626.38,4.4679,0.1826
2740224,0.0124,0.6696,348.8870,-7.6000,120.8033,628.03,6.4221,0.1800
2752512,0.0126,0.6828,355.9019,-7.6000,127.1544,662.20,5.4766,0.1821
2764800,0.0133,0.7165,357.8670,-7.6000,131.0580,687.82,5.7819,0.1802
2777088,0.0123,0.6625,354.0730,-7.6800,124.1892,660.35,5.8012,0.1773
2789376,0.0107,0.5799,361.1450,-7.6800,133.5837,707.60,5.7764,0.1802
2801664,0.0132,0.7128,364.7810,-7.7600,137.4433,715.14,4.4277,0.1844
2813952,0.0115,0.6208,369.3230,-7.6800,140.8987,739.88,2.4856,0.1853
2826240,0.0138,0.7460,365.7231,-7.6800,136.7293,717.29,2.5135,0.1851
2838528,0.0102,0.5522,377.1591,-7.5200,147.0215,767.00,0.8127,0.1879
2850816,0.0132,0.7150,370.8640,-7.6000,142.9105,744.31,0.8368,0.1903
2863104,0.0105,0.5655,374.1100,-7.4400,143.6588,745.56,0.8296,0.1892
2875392,0.0115,0.6212,379.0070,-7.4400,149.7523,778.13,0.8011,0.1895
2887680,0.0123,0.6614,374.9430,-7.4400,149.2337,774.91,0.7724,0.1898
2899968,0.0115,0.6217,378.0300,-7.3600,151.8458,779.65,0.7517,0.1920
2912256,0.0131,0.7046,374.2800,-7.5200,152.7798,787.10,0.7468,0.1908
2924544,0.0146,0.7859,379.6440,-7.2800,151.5815,776.78,0.7445,0.1910
2936832,0.0116,0.6249,371.0820,-7.3600,143.8486,730.80,0.7893,0.1915
2949120,0.0129,0.6968,366.6031,-7.2800,138.5236,704.72,0.8484,0.1893
2961408,0.0126,0.6801,365.7480,-7.2800,136.9152,695.31,0.9029,0.1890
2973696,0.0137,0.7374,363.1909,-7.4400,131.2251,671.89,0.9485,0.1883
2985984,0.0124,0.6691,352.9820,-7.7600,125.6532,652.44,0.8893,0.1868
2998272,0.0147,0.7935,341.0420,-7.9200,112.6039,594.53,2.0850,0.1819
3010560,0.0117,0.6302,343.2560,-7.8400,116.4419,612.19,2.0272,0.1827
3022848,0.0124,0.6689,342.5940,-7.9200,116.7836,616.91,2.0067,0.1814
3035136,0.0125,0.6729,340.3400,-7.9200,116.8494,617.12,1.9916,0.1816
3047424,0.0117,0.6309,341.1680,-7.9200,118.4832,621.21,4.0472,0.1819
3059712,0.0123,0.6611,350.5790,-7.8400,128.0766,679.25,4.0060,0.1810
3072000,0.0129,0.6976,354.0530,-7.8400,128.0673,682.49,2.8379,0.1815
3084288,0.0117,0.6322,355.6110,-7.8400,130.0325,700.03,2.8121,0.1807
3096576,0.0105,0.5686,358.5880,-7.6800,130.4814,709.80,2.7757,0.1791
3108864,0.0116,0.6251,361.3440,-7.6800,133.0974,723.93,3.8089,0.1769
3121152,0.0134,0.7223,355.2980,-7.6800,126.0050,684.43,1.8038,0.1770
3133440,0.0113,0.6119,362.7150,-7.6000,134.9246,729.03,1.7831,0.1785
3145728,0.0134,0.7220,360.8610,-7.6000,133.7473,719.23,3.5815,0.1775
3158016,0.0112,0.6063,360.6180,-7.6000,136.7974,726.43,3.5700,0.1800
3170304,0.0121,0.6551,357.7120,-7.6800,131.4011,693.14,3.6347,0.1813
3182592,0.0117,0.6310,361.8240,-7.6800,137.9237,720.94,4.3192,0.1840
3194880,0.0130,0.6991,356.6240,-7.7600,135.0256,705.61,7.7882,0.1824
3207168,0.0117,0.6315,355.1480,-7.7600,138.0638,712.88,7.4866,0.1846
3219456,0.0125,0.6722,356.7660,-7.7600,139.1323,716.96,7.4729,0.1848
3231744,0.0119,0.6448,353.4760,-7.6800,134.4754,693.58,7.5039,0.1843
3244032,0.0122,0.6584,351.2890,-7.6800,129.3644,672.67,5.7801,0.1832
